Field,Label,Value
created,Created,2024-03-02T01:46:31.147918
description,Description,GeoJSON
format,File Format,GeoJSON
download_url,Download URL,https://s3.dualstack.us-east-1.amazonaws.com/production-raw-data-api/ISO3/PHL/railways/points/hotosm_phl_railways_points_geojson.zip
id,Resource ID,0cc61910-c2a6-4ba1-8153-bca12bb72a23
last_modified,Updated,2025-01-17T01:45:22.299111
metadata_modified,Metadata Updated,2025-01-17T01:51:12.609415
microdata,Microdata,False
dataset_id,Dataset ID,8e67f808-1474-4a17-8cb9-e43643c17c11
resource_type,Resource Type,api
name,Resource Name,hotosm_phl_railways_points_geojson.zip
mimetype,MIME Type,
size,Size,2.3K
